"","X.3","X.2","X.1","X","Regio.s","x.1.000","X.","X1.000.euro...4","X1.000.euro...5","X1.000.euro...6","X1.000.euro...7"
"1",1,1,1,1,"Groningen (PV)",2837,100,242,220,333,282
"2",2,2,2,2,"Fryslân (PV)",2854,100,261,239,372,322
"3",3,3,3,3,"Drenthe (PV)",2122,100,274,249,393,342
"4",4,4,4,4,"Overijssel (PV)",4866,100,269,246,392,338
"5",5,5,5,5,"Flevoland (PV)",1654,100,277,255,408,359
"6",6,6,6,6,"Gelderland (PV)",8868,100,278,253,402,344
"7",7,7,7,7,"Utrecht (PV)",5809,100,302,269,434,359
"8",8,8,8,8,"Noord-Holland (PV)",13093,100,297,257,414,329
"9",9,9,9,9,"Zuid-Holland (PV)",16292,100,283,250,400,326
"10",10,10,10,10,"Zeeland (PV)",1707,100,280,255,398,342
"11",11,11,11,11,"Noord-Brabant (PV)",11019,100,286,259,413,350
"12",12,12,12,12,"Limburg (PV)",5111,100,269,245,380,322
"13",13,13,13,13,"Bron: CBS",NA,NA,NA,NA,NA,NA
