"","X.5","X.4","X.3","X.2","X.1","X","Regio.s","x.1.000","X.","X1.000.euro...4","X1.000.euro...5","X1.000.euro...6","X1.000.euro...7"
"1",1,1,1,1,1,1,"Groningen (PV)",2845,100,249,226,343,287
"2",2,2,2,2,2,2,"Fryslân (PV)",2874,100,269,245,383,327
"3",3,3,3,3,3,3,"Drenthe (PV)",2143,100,282,255,404,348
"4",4,4,4,4,4,4,"Overijssel (PV)",4912,100,277,252,405,345
"5",5,5,5,5,5,5,"Flevoland (PV)",1675,100,284,261,419,367
"6",6,6,6,6,6,6,"Gelderland (PV)",8968,100,288,259,416,351
"7",7,7,7,7,7,7,"Utrecht (PV)",5866,100,312,276,449,368
"8",8,8,8,8,8,8,"Noord-Holland (PV)",13219,100,307,263,430,337
"9",9,9,9,9,9,9,"Zuid-Holland (PV)",16445,100,293,256,415,334
"10",10,10,10,10,10,10,"Zeeland (PV)",1717,100,288,260,409,347
"11",11,11,11,11,11,11,"Noord-Brabant (PV)",11135,100,298,265,428,357
"12",12,12,12,12,12,12,"Limburg (PV)",5149,100,277,250,390,328
"13",13,13,13,13,13,13,"Bron: CBS",NA,NA,NA,NA,NA,NA
