"","X.3","X.2","X.1","X","Regio.s","x.1.000","X.","X1.000.euro...4","X1.000.euro...5","X1.000.euro...6","X1.000.euro...7"
"1",1,1,1,1,"Groningen (PV)",2947,100,328,301,455,374
"2",2,2,2,2,"Fryslân (PV)",2999,100,351,322,504,422
"3",3,3,3,3,"Drenthe (PV)",2239,100,366,336,531,452
"4",4,4,4,4,"Overijssel (PV)",5188,100,366,335,539,451
"5",5,5,5,5,"Flevoland (PV)",1866,100,376,348,558,490
"6",6,6,6,6,"Gelderland (PV)",9519,100,377,341,550,459
"7",7,7,7,7,"Utrecht (PV)",6240,100,411,365,598,486
"8",8,8,8,8,"Noord-Holland (PV)",14032,100,409,347,577,443
"9",9,9,9,9,"Zuid-Holland (PV)",17510,100,383,339,548,438
"10",10,10,10,10,"Zeeland (PV)",1797,100,371,338,530,445
"11",11,11,11,11,"Noord-Brabant (PV)",11885,100,387,348,563,464
"12",12,12,12,12,"Limburg (PV)",5347,100,357,325,505,417
"13",13,13,13,13,"Bron: CBS",NA,NA,NA,NA,NA,NA
